feature_group,full_rmse,permuted_rmse,rmse_increase,permuted_mae,permuted_r2
history:lag7_mean,4.972795954661093,7.017766642345976,2.0449706876848834,5.653846726636158,0.6447174497814112
history:lag1_hours,4.972795954661093,5.840547775913906,0.8677518212528135,4.486333576963861,0.7539161041635111
weather:temperature,4.972795954661093,4.9885016616481215,0.015705706987028556,3.114056784394665,0.8204785801701475
history:lag30_mean,4.972795954661093,4.984415187516075,0.011619232854982009,3.452992225934545,0.8207725799357439
history:lag1_starts,4.972795954661093,4.980887636754804,0.008091682093710695,3.1003070143588767,0.8210261744206702
calendar:seasonality,4.972795954661093,4.97857161163524,0.005775656974146948,3.099665215424038,0.8211925750851996
calendar:weekend,4.972795954661093,4.9744942185342405,0.001698263873147532,3.097223984751117,0.8214853376156481
weather:pressure,4.972795954661093,4.97411440354951,0.0013184488884174783,3.098328583807349,0.8215125966503731
calendar:weekday,4.972795954661093,4.973526383710899,0.0007304290498062471,3.0978242228167323,0.8215547942847535
weather:missing,4.972795954661093,4.972795954661093,0.0,3.0972108624936285,0.8216072045790979
weather:wind,4.972795954661093,4.9723308149621825,-0.0004651396989103773,3.0968321108605883,0.8216405756207315
weather:humidity,4.972795954661093,4.972148430695556,-0.0006475239655365783,3.0985068958344124,0.8216536597687599
history:yesterday_had_alarm,4.972795954661093,4.97176136719236,-0.0010345874687329726,3.097706053962561,0.8216814259037719
weather:precipitation,4.972795954661093,4.971697986421583,-0.0010979682395095836,3.0943291839670315,0.8216859723394496
calendar:month,4.972795954661093,4.971221071372234,-0.0015748832888586861,3.097262313369736,0.8217201805977669
weather:radiation,4.972795954661093,4.969908737611892,-0.0028872170492011406,3.109364432474286,0.8218142949978221
region,4.972795954661093,4.961991371846932,-0.010804582814160746,3.1222119143840583,0.8223815640407017
history:days_since_alarm,4.972795954661093,4.95979064444303,-0.013005310218062505,3.1516701593804437,0.8225390826847482
history:lag2_hours,4.972795954661093,4.906819179679885,-0.06597677498120813,3.204241974759478,0.8263094700246615
